epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1617.88,1.35966,1.30933,1.1445,0.44758,0.66291,0.49117,0.25156,1.68038,1.68147,1.53601,0.003169,0.003169,0.003169
71,1633.34,1.38373,1.31442,1.15091,0.39257,0.72343,0.47581,0.24262,1.7149,1.77846,1.54494,0.00307,0.00307,0.00307
72,1649.68,1.19221,1.22945,1.09575,0.39257,0.72343,0.47581,0.24262,1.7149,1.77846,1.54494,0.002971,0.002971,0.002971
73,1665.72,1.3634,1.34439,1.17106,0.36544,0.72343,0.44123,0.21759,1.77123,1.94304,1.56045,0.002872,0.002872,0.002872
74,1681.05,1.35042,1.28514,1.19486,0.36544,0.72343,0.44123,0.21759,1.77123,1.94304,1.56045,0.002773,0.002773,0.002773
75,1696.35,1.43869,1.35592,1.22461,0.37841,0.72933,0.45928,0.22614,1.76062,1.79057,1.5354,0.002674,0.002674,0.002674
76,1711.59,1.34853,1.23255,1.11342,0.38749,0.73524,0.48411,0.24679,1.69155,1.66748,1.50134,0.002575,0.002575,0.002575
77,1728.23,1.40168,1.30493,1.18385,0.38749,0.73524,0.48411,0.24679,1.69155,1.66748,1.50134,0.002476,0.002476,0.002476
78,1743.8,1.41886,1.39529,1.19441,0.37137,0.73339,0.46854,0.24513,1.64511,1.76109,1.48078,0.002377,0.002377,0.002377
79,1759.77,1.35778,1.32969,1.18249,0.35735,0.73378,0.44907,0.23385,1.6136,1.97294,1.46443,0.002278,0.002278,0.002278
80,1775.93,1.43168,1.41867,1.2222,0.35735,0.73378,0.44907,0.23385,1.6136,1.97294,1.46443,0.002179,0.002179,0.002179
81,1791.71,1.36595,1.39555,1.24636,0.36305,0.70684,0.4348,0.22205,1.62705,2.19775,1.4673,0.00208,0.00208,0.00208
82,1807.07,1.32293,1.23853,1.1329,0.36305,0.70684,0.4348,0.22205,1.62705,2.19775,1.4673,0.001981,0.001981,0.001981
83,1822.57,1.2243,1.19858,1.10715,0.3917,0.6456,0.45108,0.23106,1.66335,2.153,1.48561,0.001882,0.001882,0.001882
84,1837.99,1.33895,1.31875,1.17863,0.43044,0.62178,0.48737,0.25115,1.69785,2.10551,1.50477,0.001783,0.001783,0.001783
85,1854.01,1.32134,1.28442,1.18301,0.43044,0.62178,0.48737,0.25115,1.69785,2.10551,1.50477,0.001684,0.001684,0.001684
86,1870.17,1.25243,1.18938,1.11796,0.43805,0.60853,0.49213,0.25457,1.71506,2.15795,1.52493,0.001585,0.001585,0.001585
87,1886.65,1.31365,1.30242,1.14195,0.46563,0.59198,0.52121,0.27157,1.70633,2.02878,1.52642,0.001486,0.001486,0.001486
88,1902.99,1.32755,1.25482,1.12909,0.46563,0.59198,0.52121,0.27157,1.70633,2.02878,1.52642,0.001387,0.001387,0.001387
89,1918.37,1.24034,1.19227,1.10192,0.46731,0.62238,0.54612,0.28703,1.68737,1.86661,1.50937,0.001288,0.001288,0.001288
90,1933.55,1.31506,1.30448,1.17809,0.46731,0.62238,0.54612,0.28703,1.68737,1.86661,1.50937,0.001189,0.001189,0.001189
91,1948.07,1.2057,1.24536,1.08301,0.49552,0.65939,0.57852,0.30732,1.6446,1.64448,1.47926,0.00109,0.00109,0.00109
92,1963.13,1.22905,1.26265,1.13856,0.52628,0.66964,0.59531,0.31853,1.58748,1.4932,1.43962,0.000991,0.000991,0.000991
93,1978.09,1.32453,1.20784,1.12825,0.52628,0.66964,0.59531,0.31853,1.58748,1.4932,1.43962,0.000892,0.000892,0.000892
94,1993.49,1.19983,1.19495,1.1229,0.51693,0.6703,0.60445,0.32337,1.56842,1.4328,1.42873,0.000793,0.000793,0.000793
95,2008.85,1.22091,1.16865,1.08635,0.50909,0.70234,0.60997,0.32692,1.59127,1.42562,1.43454,0.000694,0.000694,0.000694
96,2023.98,1.13536,1.13827,1.08167,0.50909,0.70234,0.60997,0.32692,1.59127,1.42562,1.43454,0.000595,0.000595,0.000595
97,2038.86,1.23239,1.15408,1.10558,0.48882,0.72149,0.60979,0.32564,1.59979,1.42736,1.43677,0.000496,0.000496,0.000496
98,2054.06,1.19219,1.11911,1.07571,0.48882,0.72149,0.60979,0.32564,1.59979,1.42736,1.43677,0.000397,0.000397,0.000397
99,2069.62,1.25027,1.173,1.14392,0.49158,0.71139,0.61004,0.32502,1.5984,1.42815,1.43366,0.000298,0.000298,0.000298
100,2083.6,1.28409,1.19123,1.11351,0.49132,0.71906,0.61097,0.32598,1.59518,1.42382,1.43021,0.000199,0.000199,0.000199
