epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,8176.82,1.22059,0.58093,1.05577,0.91565,0.87256,0.92304,0.52275,1.49345,0.66338,1.26767,0.0003665,0.0003665,0.0003665
68,8297.54,1.21049,0.57598,1.05709,0.91046,0.8689,0.91688,0.51846,1.51188,0.66141,1.27403,0.00034175,0.00034175,0.00034175
69,8411.36,1.20006,0.57797,1.05244,0.91289,0.86904,0.91063,0.51393,1.50527,0.65997,1.27091,0.000317,0.000317,0.000317
70,8537.38,1.20548,0.56892,1.04909,0.91238,0.875,0.91615,0.51619,1.49178,0.65757,1.26604,0.00029225,0.00029225,0.00029225
71,8676.94,1.16665,0.54904,1.06745,0.89915,0.88963,0.91766,0.51346,1.48217,0.65316,1.26371,0.0002675,0.0002675,0.0002675
72,8786.42,1.14445,0.53471,1.06296,0.90174,0.88971,0.92065,0.51619,1.48312,0.64958,1.26271,0.00024275,0.00024275,0.00024275
73,8918.69,1.13355,0.53105,1.04264,0.90328,0.88266,0.92122,0.52471,1.48063,0.65131,1.26043,0.000218,0.000218,0.000218
74,9015.26,1.11615,0.53353,1.05976,0.91616,0.87282,0.92304,0.52969,1.47624,0.65353,1.25968,0.00019325,0.00019325,0.00019325
75,9137.03,1.10927,0.52987,1.04071,0.92433,0.86098,0.92039,0.52903,1.47542,0.64636,1.2626,0.0001685,0.0001685,0.0001685
76,9234.91,1.11436,0.5226,1.05751,0.92358,0.86223,0.9203,0.52938,1.47488,0.64485,1.26105,0.00014375,0.00014375,0.00014375
77,9344.56,1.0935,0.51257,1.04521,0.91888,0.87031,0.92461,0.5284,1.4745,0.64572,1.26129,0.000119,0.000119,0.000119
78,9472.29,1.07729,0.51181,1.01869,0.91361,0.87057,0.92121,0.52836,1.4697,0.647,1.26042,9.425e-05,9.425e-05,9.425e-05
79,9572.01,1.07793,0.51122,1.04348,0.91436,0.875,0.92042,0.52598,1.47818,0.64592,1.26714,6.95e-05,6.95e-05,6.95e-05
80,9696.45,1.08716,0.52009,1.04598,0.91811,0.87439,0.92063,0.5278,1.47577,0.64337,1.26588,4.475e-05,4.475e-05,4.475e-05
