epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1928.13,1.05566,0.8681,0.98202,0.6685,0.64093,0.69575,0.46332,1.24346,1.38345,1.36794,0.004357,0.004357,0.004357
59,1960.39,1.04648,0.85985,0.97379,0.66041,0.63439,0.69334,0.46913,1.23489,1.43565,1.36549,0.004258,0.004258,0.004258
60,1993.24,1.04171,0.85378,0.97758,0.71442,0.66502,0.72479,0.48821,1.21646,1.34672,1.34245,0.004159,0.004159,0.004159
61,2026.7,1.0441,0.87126,0.98331,0.65759,0.68275,0.69552,0.46763,1.23848,1.40463,1.3665,0.00406,0.00406,0.00406
62,2061.46,1.0292,0.83524,0.97123,0.70999,0.64311,0.72379,0.49936,1.19491,1.35923,1.32841,0.003961,0.003961,0.003961
63,2094.61,1.03223,0.84889,0.97119,0.71821,0.66315,0.72548,0.49228,1.2025,1.35906,1.33291,0.003862,0.003862,0.003862
64,2127.59,1.03747,0.83704,0.97512,0.65305,0.70196,0.72519,0.49088,1.20589,1.33946,1.32823,0.003763,0.003763,0.003763
65,2161.1,1.03034,0.85396,0.978,0.69685,0.68131,0.7216,0.49007,1.22288,1.33988,1.35082,0.003664,0.003664,0.003664
66,2194.39,1.02686,0.8384,0.97232,0.68171,0.6901,0.72052,0.49342,1.21361,1.3305,1.33871,0.003565,0.003565,0.003565
67,2229.46,1.02758,0.84189,0.97401,0.6742,0.67656,0.71926,0.48418,1.21208,1.32846,1.34045,0.003466,0.003466,0.003466
68,2262.27,1.01601,0.81951,0.96749,0.68851,0.66433,0.71663,0.49299,1.19993,1.33033,1.33496,0.003367,0.003367,0.003367
69,2295.2,1.02761,0.83481,0.97077,0.68396,0.68655,0.72267,0.48571,1.21502,1.32692,1.34077,0.003268,0.003268,0.003268
70,2328.6,1.01483,0.82471,0.9674,0.72313,0.66802,0.73965,0.50397,1.21163,1.32041,1.34412,0.003169,0.003169,0.003169
71,2360.43,1.00106,0.82232,0.96792,0.69164,0.6983,0.72849,0.4985,1.19931,1.30607,1.33983,0.00307,0.00307,0.00307
72,2393,1.00039,0.81195,0.95999,0.70583,0.68759,0.73295,0.50667,1.20549,1.29024,1.32971,0.002971,0.002971,0.002971
73,2427.34,1.0015,0.80883,0.96264,0.6744,0.69853,0.73266,0.50694,1.20263,1.29176,1.32876,0.002872,0.002872,0.002872
74,2459.81,0.99845,0.80242,0.95894,0.70038,0.71563,0.74308,0.5143,1.175,1.27548,1.31455,0.002773,0.002773,0.002773
75,2493.51,0.99236,0.79578,0.95912,0.74138,0.67311,0.7452,0.51262,1.1883,1.29118,1.3255,0.002674,0.002674,0.002674
76,2528.15,1.00297,0.80105,0.95736,0.72074,0.69912,0.75112,0.52106,1.18606,1.27027,1.32798,0.002575,0.002575,0.002575
77,2563.51,1.0007,0.78842,0.95533,0.73486,0.69037,0.7516,0.51305,1.19076,1.28073,1.3254,0.002476,0.002476,0.002476
78,2596.26,0.98723,0.79906,0.95908,0.71201,0.70682,0.75095,0.52214,1.16725,1.28083,1.30363,0.002377,0.002377,0.002377
79,2628.59,0.98793,0.78542,0.9576,0.72088,0.70419,0.75457,0.52562,1.18028,1.27754,1.31187,0.002278,0.002278,0.002278
80,2660.18,0.97328,0.77723,0.95649,0.71306,0.70653,0.75355,0.52259,1.17789,1.26602,1.32679,0.002179,0.002179,0.002179
81,2692.37,0.98828,0.78254,0.95419,0.70633,0.71589,0.75141,0.52845,1.17824,1.25787,1.31766,0.00208,0.00208,0.00208
82,2726.39,0.98338,0.78066,0.95474,0.71674,0.69932,0.75043,0.52106,1.17869,1.2953,1.3241,0.001981,0.001981,0.001981
83,2760.35,0.97642,0.77554,0.9523,0.72854,0.69436,0.74198,0.52056,1.16925,1.27067,1.31466,0.001882,0.001882,0.001882
84,2793.49,0.97667,0.78255,0.95022,0.74193,0.67762,0.75134,0.51815,1.166,1.26666,1.31164,0.001783,0.001783,0.001783
85,2825.84,0.974,0.77373,0.95169,0.71284,0.70969,0.75316,0.52031,1.17777,1.25534,1.31823,0.001684,0.001684,0.001684
86,2858.19,0.96771,0.7606,0.94798,0.71109,0.71643,0.75584,0.52365,1.17497,1.23886,1.31169,0.001585,0.001585,0.001585
87,2889.97,0.96352,0.7614,0.94814,0.69854,0.7234,0.75715,0.5334,1.17098,1.24599,1.31917,0.001486,0.001486,0.001486
88,2922.02,0.9592,0.74534,0.94285,0.74109,0.69523,0.75721,0.53027,1.17462,1.24584,1.31306,0.001387,0.001387,0.001387
89,2954.1,0.96915,0.75613,0.94771,0.73126,0.7081,0.75618,0.52891,1.1633,1.24139,1.30316,0.001288,0.001288,0.001288
90,2986,0.9672,0.75973,0.94632,0.75209,0.69369,0.75819,0.52681,1.16764,1.2379,1.30719,0.001189,0.001189,0.001189
91,3028.37,0.92119,0.71506,0.94064,0.7106,0.7034,0.74405,0.51601,1.16034,1.25952,1.30232,0.00109,0.00109,0.00109
92,3059.42,0.90679,0.69775,0.93476,0.71454,0.7139,0.75398,0.52396,1.16687,1.26513,1.30595,0.000991,0.000991,0.000991
93,3089.87,0.91245,0.70099,0.93449,0.74969,0.6814,0.75117,0.52514,1.16201,1.24533,1.30389,0.000892,0.000892,0.000892
94,3119.97,0.90698,0.69967,0.93636,0.71338,0.71632,0.7629,0.53173,1.15672,1.2289,1.30108,0.000793,0.000793,0.000793
95,3150.1,0.89733,0.69363,0.93658,0.73215,0.72039,0.7622,0.53639,1.16113,1.24239,1.30785,0.000694,0.000694,0.000694
96,3180.23,0.89968,0.68552,0.93215,0.72995,0.71413,0.75822,0.53497,1.15087,1.23288,1.30043,0.000595,0.000595,0.000595
97,3210.45,0.89418,0.6797,0.92612,0.73308,0.71564,0.76242,0.5388,1.14753,1.23533,1.2988,0.000496,0.000496,0.000496
98,3240.58,0.89145,0.67509,0.92967,0.75182,0.70561,0.76397,0.54067,1.14742,1.23313,1.29493,0.000397,0.000397,0.000397
99,3270.92,0.89149,0.67969,0.9311,0.75573,0.70519,0.76419,0.53874,1.15135,1.23048,1.29662,0.000298,0.000298,0.000298
100,3301.2,0.88294,0.67275,0.92677,0.75516,0.70695,0.76247,0.53692,1.14346,1.23137,1.29058,0.000199,0.000199,0.000199
